GEOLINEID,Legend_Description,GSC_SYMBOL
112002036610,fault; reverse; inferred; attitude not entered; primary generation,4.02.02.003
112002036620,fault; reverse; inferred; attitude not entered; multi-generation generation,4.02.02.003
112002036666,fault; reverse; inferred; attitude not entered; not entered generation,4.02.02.003
112002036688,fault; reverse; inferred; attitude not entered; undefined generation,4.02.02.003
112002037701,fault; reverse; inferred; attitude unknown; first generation,4.02.02.003
112002037702,fault; reverse; inferred; attitude unknown; second generation,4.02.02.003
112002037703,fault; reverse; inferred; attitude unknown; third generation,4.02.02.003
112002037704,fault; reverse; inferred; attitude unknown; fourth generation,4.02.02.003
112002037710,fault; reverse; inferred; attitude unknown; primary generation,4.02.02.003
112002037720,fault; reverse; inferred; attitude unknown; multi-generation generation,4.02.02.003
112002037766,fault; reverse; inferred; attitude unknown; not entered generation,4.02.02.003
112002037788,fault; reverse; inferred; attitude unknown; undefined generation,4.02.02.003
112002040101,fault; reverse; concealed; attitude upright; first generation,4.02.02.004
112002040102,fault; reverse; concealed; attitude upright; second generation,4.02.02.004
112002040103,fault; reverse; concealed; attitude upright; third generation,4.02.02.004
112002040104,fault; reverse; concealed; attitude upright; fourth generation,4.02.02.004
112002040110,fault; reverse; concealed; attitude upright; primary generation,4.02.02.004
112002040120,fault; reverse; concealed; attitude upright; multi-generation generation,4.02.02.004
112002040166,fault; reverse; concealed; attitude upright; not entered generation,4.02.02.004
112002040188,fault; reverse; concealed; attitude upright; undefined generation,4.02.02.004
112002040201,fault; reverse; concealed; attitude overturned; first generation,4.02.02.004
112002040202,fault; reverse; concealed; attitude overturned; second generation,4.02.02.004
112002040203,fault; reverse; concealed; attitude overturned; third generation,4.02.02.004
112002040204,fault; reverse; concealed; attitude overturned; fourth generation,4.02.02.004
112002040210,fault; reverse; concealed; attitude overturned; primary generation,4.02.02.004
112002040220,fault; reverse; concealed; attitude overturned; multi-generation generation,4.02.02.004
112002040266,fault; reverse; concealed; attitude overturned; not entered generation,4.02.02.004
112002040288,fault; reverse; concealed; attitude overturned; undefined generation,4.02.02.004
112002040301,"fault; reverse; concealed; attitude upright, assumed from archival data; first generation",4.02.02.004
112002040302,"fault; reverse; concealed; attitude upright, assumed from archival data; second generation",4.02.02.004
112002040303,"fault; reverse; concealed; attitude upright, assumed from archival data; third generation",4.02.02.004
112002040304,"fault; reverse; concealed; attitude upright, assumed from archival data; fourth generation",4.02.02.004
112002040310,"fault; reverse; concealed; attitude upright, assumed from archival data; primary generation",4.02.02.004
112002040320,"fault; reverse; concealed; attitude upright, assumed from archival data; multi-generation generation",4.02.02.004
112002040366,"fault; reverse; concealed; attitude upright, assumed from archival data; not entered generation",4.02.02.004
112002040388,"fault; reverse; concealed; attitude upright, assumed from archival data; undefined generation",4.02.02.004
112002046601,fault; reverse; concealed; attitude not entered; first generation,4.02.02.004
112002046602,fault; reverse; concealed; attitude not entered; second generation,4.02.02.004
