GEOPOINTID,Legend_Description,GSC_SYMBOL
2203899119901,linear; boudinage axis; not applicable; multi-generation; not applicable; measured at station,4.13.03.009
2203899119902,linear; boudinage axis; not applicable; multi-generation; not applicable; estimated at station,4.13.03.010
2203899119903,linear; boudinage axis; not applicable; multi-generation; not applicable; estimated remotely,4.13.03.010
2203899119904,linear; boudinage axis; not applicable; multi-generation; not applicable; calculated from data,4.13.03.010
2203899119905,linear; boudinage axis; not applicable; multi-generation; not applicable; calculated from imagery,4.13.03.010
2203899119906,linear; boudinage axis; not applicable; multi-generation; not applicable; acquired from historical data,4.13.03.009
2203899119966,linear; boudinage axis; not applicable; multi-generation; not applicable; not entered,4.13.03.010
2203899669901,linear; boudinage axis; not applicable; not entered; not applicable; measured at station,4.13.03.009
2203899669902,linear; boudinage axis; not applicable; not entered; not applicable; estimated at station,4.13.03.010
2203899669903,linear; boudinage axis; not applicable; not entered; not applicable; estimated remotely,4.13.03.010
2203899669904,linear; boudinage axis; not applicable; not entered; not applicable; calculated from data,4.13.03.010
2203899669905,linear; boudinage axis; not applicable; not entered; not applicable; calculated from imagery,4.13.03.010
2203899669906,linear; boudinage axis; not applicable; not entered; not applicable; acquired from historical data,4.13.03.009
2203899669966,linear; boudinage axis; not applicable; not entered; not applicable; not entered,4.13.03.010
2203899889901,linear; boudinage axis; not applicable; undefined; not applicable; measured at station,4.13.03.009
2203899889902,linear; boudinage axis; not applicable; undefined; not applicable; estimated at station,4.13.03.010
2203899889903,linear; boudinage axis; not applicable; undefined; not applicable; estimated remotely,4.13.03.010
2203899889904,linear; boudinage axis; not applicable; undefined; not applicable; calculated from data,4.13.03.010
2203899889905,linear; boudinage axis; not applicable; undefined; not applicable; calculated from imagery,4.13.03.010
2203899889906,linear; boudinage axis; not applicable; undefined; not applicable; acquired from historical data,4.13.03.009
2203899889966,linear; boudinage axis; not applicable; undefined; not applicable; not entered,4.13.03.010
2203999019901,linear; rodding; not applicable; first; not applicable; measured at station,4.13.03.007
2203999019902,linear; rodding; not applicable; first; not applicable; estimated at station,4.13.03.008
2203999019903,linear; rodding; not applicable; first; not applicable; estimated remotely,4.13.03.008
2203999019904,linear; rodding; not applicable; first; not applicable; calculated from data,4.13.03.008
2203999019905,linear; rodding; not applicable; first; not applicable; calculated from imagery,4.13.03.008
2203999019906,linear; rodding; not applicable; first; not applicable; acquired from historical data,4.13.03.007
2203999019966,linear; rodding; not applicable; first; not applicable; not entered,4.13.03.008
2203999029901,linear; rodding; not applicable; second; not applicable; measured at station,4.13.03.007
2203999029902,linear; rodding; not applicable; second; not applicable; estimated at station,4.13.03.008
2203999029903,linear; rodding; not applicable; second; not applicable; estimated remotely,4.13.03.008
2203999029904,linear; rodding; not applicable; second; not applicable; calculated from data,4.13.03.008
2203999029905,linear; rodding; not applicable; second; not applicable; calculated from imagery,4.13.03.008
2203999029906,linear; rodding; not applicable; second; not applicable; acquired from historical data,4.13.03.007
2203999029966,linear; rodding; not applicable; second; not applicable; not entered,4.13.03.008
2203999039901,linear; rodding; not applicable; third; not applicable; measured at station,4.13.03.007
2203999039902,linear; rodding; not applicable; third; not applicable; estimated at station,4.13.03.008
2203999039903,linear; rodding; not applicable; third; not applicable; estimated remotely,4.13.03.008
2203999039904,linear; rodding; not applicable; third; not applicable; calculated from data,4.13.03.008
2203999039905,linear; rodding; not applicable; third; not applicable; calculated from imagery,4.13.03.008
2203999039906,linear; rodding; not applicable; third; not applicable; acquired from historical data,4.13.03.007
2203999039966,linear; rodding; not applicable; third; not applicable; not entered,4.13.03.008
2203999049901,linear; rodding; not applicable; fourth; not applicable; measured at station,4.13.03.007
2203999049902,linear; rodding; not applicable; fourth; not applicable; estimated at station,4.13.03.008
2203999049903,linear; rodding; not applicable; fourth; not applicable; estimated remotely,4.13.03.008
2203999049904,linear; rodding; not applicable; fourth; not applicable; calculated from data,4.13.03.008
2203999049905,linear; rodding; not applicable; fourth; not applicable; calculated from imagery,4.13.03.008
2203999049906,linear; rodding; not applicable; fourth; not applicable; acquired from historical data,4.13.03.007
2203999049966,linear; rodding; not applicable; fourth; not applicable; not entered,4.13.03.008
2203999059901,linear; rodding; not applicable; fifth; not applicable; measured at station,4.13.03.007
